,particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
3,AMC for Demat Account for 26-09-2022 to 25-12-2022,2023-04-06,NSE-EQ - Z,Journal Entry,88.5,0.0,31670.230269,Charges
6,Kite Connect API Charges (2023-05-02),2023-05-02,NSE-EQ - Z,Journal Entry,1999.9997,0.0,3000.000569,Charges
7,Kite Connect API Charges (2023-05-02),2023-05-02,NSE-EQ - Z,Journal Entry,1300.0001,0.0,1700.000469,Charges
11,AMC for Demat Account for 26-12-2022 to 26-03-2023,2023-05-15,NSE-EQ - Z,Journal Entry,88.5,0.0,7478.101922,Charges
15,Call and Trade charges(Auto Square Off) for 2023-05-22,2023-05-22,NSE-F&O - Z,Journal Entry,118.0,0.0,73182.317644,Charges
22,Kite Connect API Charges (2023-05-30),2023-05-30,NSE-EQ - Z,Journal Entry,1999.9997,0.0,36343.725799,Charges
23,Kite Connect API Charges (2023-05-30),2023-05-30,NSE-EQ - Z,Journal Entry,1999.9997,0.0,34343.726099,Charges
27,Call and Trade charges(Auto Square Off) for 2023-06-02,2023-06-02,NSE-F&O - Z,Journal Entry,59.0,0.0,4043.295448,Charges
31,Being payment gateway charges debited for YY0222,2023-06-07,NSE-EQ - Z,Journal Entry,10.62,0.0,90495.472885,Charges
52,Kite Connect API Charges (2023-06-30),2023-06-30,NSE-EQ - Z,Journal Entry,1999.9997,0.0,197729.10253,Charges
53,Kite Connect API Charges (2023-06-30),2023-06-30,NSE-EQ - Z,Journal Entry,1999.9997,0.0,195729.10283,Charges
55,Being payment gateway charges debited for YY0222,2023-07-02,NSE-EQ - Z,Journal Entry,10.62,0.0,209790.462767,Charges
56,Being payment gateway charges debited for YY0222,2023-07-02,NSE-EQ - Z,Journal Entry,10.62,0.0,209779.842767,Charges
61,Being payment gateway charges debited for YY0222,2023-07-03,NSE-EQ - Z,Journal Entry,10.62,0.0,1959769.222767,Charges
62,Being payment gateway charges debited for YY0222,2023-07-03,NSE-EQ - Z,Journal Entry,10.62,0.0,1959758.602767,Charges
66,Being payment gateway charges debited for YY0222,2023-07-04,NSE-EQ - Z,Journal Entry,10.62,0.0,2500403.869891,Charges
67,Being payment gateway charges debited for YY0222,2023-07-04,NSE-EQ - Z,Journal Entry,10.62,0.0,2500393.249891,Charges
68,DPCharges for Sale of LIQUIDBEES on 04/07/2023,2023-07-04,NSE-EQ - Z,Journal Entry,9.44,0.0,2500383.809891,Charges
69,DP Charges for Sale of BRITANNIA on 04/07/2023,2023-07-04,NSE-EQ - Z,Journal Entry,15.93,0.0,2500367.879891,Charges
88,Being payment gateway charges debited for YY0222,2023-07-08,NSE-EQ - Z,Journal Entry,10.62,0.0,20729.533784,Charges
89,Being payment gateway charges debited for YY0222,2023-07-08,NSE-EQ - Z,Journal Entry,10.62,0.0,20718.913784,Charges
94,Being payment gateway charges debited for YY0222,2023-07-10,NSE-EQ - Z,Journal Entry,10.62,0.0,1994708.293784,Charges
95,Being payment gateway charges debited for YY0222,2023-07-10,NSE-EQ - Z,Journal Entry,10.62,0.0,1994697.673784,Charges
100,Being payment gateway charges debited for YY0222,2023-07-11,NSE-EQ - Z,Journal Entry,10.62,0.0,2091243.351646,Charges
168,Kite Connect API Charges (2023-07-31),2023-07-31,NSE-EQ - Z,Journal Entry,1999.9997,0.0,2041324.762015,Charges
169,Kite Connect API Charges (2023-07-31),2023-07-31,NSE-EQ - Z,Journal Entry,1999.9997,0.0,2039324.762315,Charges
203,DP Charges for Sale of VASCONEQ on 09/08/2023,2023-08-09,NSE-EQ - Z,Journal Entry,15.93,0.0,1526389.254192,Charges
210,DP Charges for Sale of HISARMETAL on 10/08/2023,2023-08-10,NSE-EQ - Z,Journal Entry,15.93,0.0,1678446.841123,Charges
217,DP Charges for Sale of ONMOBILE on 11/08/2023,2023-08-11,NSE-EQ - Z,Journal Entry,15.93,0.0,1494706.13984,Charges
218,DP Charges for Sale of ORIENTCEM on 11/08/2023,2023-08-11,NSE-EQ - Z,Journal Entry,15.93,0.0,1494690.20984,Charges
223,AMC for Demat Account for 27-03-2023 to 25-06-2023,2023-08-11,NSE-EQ - Z,Journal Entry,88.5,0.0,1962885.612458,Charges
224,DP Charges for Sale of BLKASHYAP on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962869.682458,Charges
225,DP Charges for Sale of BFINVEST on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962853.752458,Charges
226,DP Charges for Sale of MOTOGENFIN on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962837.822458,Charges
227,DP Charges for Sale of ASAHISONG on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962821.892458,Charges
228,DP Charges for Sale of DPABHUSHAN on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962805.962458,Charges
229,DP Charges for Sale of ITDCEM on 14/08/2023,2023-08-14,NSE-EQ - Z,Journal Entry,15.93,0.0,1962790.032458,Charges
246,DP Charges for Sale of KALYANKJIL on 18/08/2023,2023-08-18,NSE-EQ - Z,Journal Entry,15.93,0.0,1428788.428382,Charges
247,DP Charges for Sale of BAGFILMS on 18/08/2023,2023-08-18,NSE-EQ - Z,Journal Entry,15.93,0.0,1428772.498382,Charges
