,particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
1,Net obligation for Equity F&O,2023-04-03,NSE-F&O - Z,Book Voucher,5749.035472,0.0,32803.071467,Trades
2,Net obligation for Equity F&O,2023-04-05,NSE-F&O - Z,Book Voucher,1044.341198,0.0,31758.730269,Trades
8,Net settlement for Equity with settlement number: 2023080,2023-05-02,NSE-EQ - Z,Book Voucher,2438.310978,0.0,-738.310509,Trades
10,Net obligation for Equity F&O,2023-05-11,NSE-F&O - Z,Book Voucher,1695.087569,0.0,7566.601922,Trades
13,Net settlement for Equity with settlement number: 2023092,2023-05-18,NSE-EQ - Z,Book Voucher,3.374576,0.0,50474.727346,Trades
14,Net obligation for Equity F&O,2023-05-18,NSE-F&O - Z,Book Voucher,0.0,22825.590298,73300.317644,Trades
16,Net obligation for Equity F&O,2023-05-22,NSE-F&O - Z,Book Voucher,1004.053145,0.0,72178.264499,Trades
17,Net obligation for Equity F&O,2023-05-23,NSE-F&O - Z,Book Voucher,0.0,12882.355799,85060.620298,Trades
18,Net obligation for Equity F&O,2023-05-24,NSE-F&O - Z,Book Voucher,0.0,8322.742924,93383.363222,Trades
19,Net obligation for Equity F&O,2023-05-25,NSE-F&O - Z,Book Voucher,0.0,29184.329113,122567.692335,Trades
20,Net obligation for Equity F&O,2023-05-26,NSE-F&O - Z,Book Voucher,14223.966836,0.0,108343.725499,Trades
24,Net obligation for Equity F&O,2023-05-31,NSE-F&O - Z,Book Voucher,171.015288,0.0,34172.710811,Trades
25,Net obligation for Equity F&O,2023-06-01,NSE-F&O - Z,Book Voucher,70.415363,0.0,34102.295448,Trades
28,Net obligation for Equity F&O,2023-06-02,NSE-F&O - Z,Book Voucher,275.239192,0.0,3768.056256,Trades
30,Net obligation for Equity F&O,2023-06-06,NSE-F&O - Z,Book Voucher,0.0,11738.036629,90506.092885,Trades
33,Net obligation for Equity F&O,2023-06-08,NSE-F&O - Z,Book Voucher,0.0,19760.595582,235256.068467,Trades
34,Net obligation for Equity F&O,2023-06-09,NSE-F&O - Z,Book Voucher,0.0,17415.763495,252671.831962,Trades
36,Net obligation for Equity F&O,2023-06-12,NSE-F&O - Z,Book Voucher,0.0,16552.580128,234224.41209,Trades
37,Net obligation for Equity F&O,2023-06-13,NSE-F&O - Z,Book Voucher,0.0,20390.870089,254615.282179,Trades
39,Net obligation for Equity F&O,2023-06-14,NSE-F&O - Z,Book Voucher,43417.061918,0.0,157198.220261,Trades
40,Net obligation for Equity F&O,2023-06-15,NSE-F&O - Z,Book Voucher,24325.711486,0.0,132872.508775,Trades
41,Net obligation for Equity F&O,2023-06-16,NSE-F&O - Z,Book Voucher,30879.604131,0.0,101992.904644,Trades
42,Net obligation for Currency F&O,2023-06-19,NSE-CDS - Z,Book Voucher,10206.323309,0.0,91786.581335,Trades
43,Net obligation for Equity F&O,2023-06-19,NSE-F&O - Z,Book Voucher,0.0,57451.591601,149238.172936,Trades
44,Net obligation for Currency F&O,2023-06-20,NSE-CDS - Z,Book Voucher,0.0,12444.0444,161682.217336,Trades
45,Net obligation for Equity F&O,2023-06-20,NSE-F&O - Z,Book Voucher,0.0,2922.57442,164604.791756,Trades
46,Net obligation for Currency F&O,2023-06-21,NSE-CDS - Z,Book Voucher,0.0,4724.320545,169329.112301,Trades
47,Net obligation for Equity F&O,2023-06-21,NSE-F&O - Z,Book Voucher,0.0,30719.074663,200048.186964,Trades
48,Net obligation for Equity F&O,2023-06-22,NSE-F&O - Z,Book Voucher,17663.913482,0.0,182384.273482,Trades
49,Net obligation for Equity F&O,2023-06-23,NSE-F&O - Z,Book Voucher,8930.67342,0.0,173453.600062,Trades
50,Net obligation for Equity F&O,2023-06-26,NSE-F&O - Z,Book Voucher,9559.48627,0.0,163894.113792,Trades
51,Net obligation for Equity F&O,2023-06-28,NSE-F&O - Z,Book Voucher,0.0,35834.988438,199729.10223,Trades
54,Net obligation for Equity F&O,2023-06-30,NSE-F&O - Z,Book Voucher,0.0,14071.979937,209801.082767,Trades
63,Net obligation for Equity F&O,2023-07-03,NSE-F&O - Z,Book Voucher,0.0,655.887124,1960414.489891,Trades
70,Net settlement for Equity with settlement number: 2023124,2023-07-04,NSE-EQ - Z,Book Voucher,0.0,1303.449762,2501671.329653,Trades
71,Net obligation for Equity F&O,2023-07-04,NSE-F&O - Z,Book Voucher,0.0,26016.410962,2527687.740615,Trades
72,Span margin blocked for NSE F&O,2023-07-04,NSE-F&O - Z,Delivery Voucher,705890.0,0.0,1821797.740615,Trades
73,Exposure margin blocked for NSE F&O,2023-07-04,NSE-F&O - Z,Delivery Voucher,193890.0,0.0,1627907.740615,Trades
74,Net obligation for Equity F&O,2023-07-05,NSE-F&O - Z,Book Voucher,22332.518459,0.0,1605575.222156,Trades
75,Span margin blocked for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,158303.0,0.0,1447272.222156,Trades
76,Exposure margin blocked for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,194668.5,0.0,1252603.722156,Trades
77,Span margin reversed for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,0.0,705890.0,1958493.722156,Trades
78,Exposure margin reversed for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,0.0,193890.0,2152383.722156,Trades
79,Span margin reversed for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,0.0,158303.0,2310686.722156,Trades
80,Exposure margin reversed for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,0.0,194668.5,2505355.222156,Trades
81,Net obligation for Equity F&O,2023-07-06,NSE-F&O - Z,Book Voucher,33136.599115,0.0,2472218.623041,Trades
82,Span margin blocked for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,189857.0,0.0,2282361.623041,Trades
83,Exposure margin blocked for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,195361.0,0.0,2087000.623041,Trades
84,Span margin reversed for NSE F&O,2023-07-07,NSE-F&O - Z,Delivery Voucher,0.0,189857.0,2276857.623041,Trades
85,Exposure margin reversed for NSE F&O,2023-07-07,NSE-F&O - Z,Delivery Voucher,0.0,195361.0,2472218.623041,Trades
