particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
Net obligation for Equity F&O,2023-04-03,NSE-F&O - Z,Book Voucher,5749.035472,0.0,32803.071467,Trades
Net obligation for Equity F&O,2023-04-05,NSE-F&O - Z,Book Voucher,1044.341198,0.0,31758.730269,Trades
Net settlement for Equity with settlement number: 2023080,2023-05-02,NSE-EQ - Z,Book Voucher,2438.310978,0.0,-738.310509,Trades
Net obligation for Equity F&O,2023-05-11,NSE-F&O - Z,Book Voucher,1695.087569,0.0,7566.601922,Trades
Net settlement for Equity with settlement number: 2023092,2023-05-18,NSE-EQ - Z,Book Voucher,3.374576,0.0,50474.727346,Trades
Net obligation for Equity F&O,2023-05-18,NSE-F&O - Z,Book Voucher,0.0,22825.590298,73300.317644,Trades
Net obligation for Equity F&O,2023-05-22,NSE-F&O - Z,Book Voucher,1004.053145,0.0,72178.264499,Trades
Net obligation for Equity F&O,2023-05-23,NSE-F&O - Z,Book Voucher,0.0,12882.355799,85060.620298,Trades
Net obligation for Equity F&O,2023-05-24,NSE-F&O - Z,Book Voucher,0.0,8322.742924,93383.363222,Trades
Net obligation for Equity F&O,2023-05-25,NSE-F&O - Z,Book Voucher,0.0,29184.329113,122567.692335,Trades
Net obligation for Equity F&O,2023-05-26,NSE-F&O - Z,Book Voucher,14223.966836,0.0,108343.725499,Trades
Net obligation for Equity F&O,2023-05-31,NSE-F&O - Z,Book Voucher,171.015288,0.0,34172.710811,Trades
Net obligation for Equity F&O,2023-06-01,NSE-F&O - Z,Book Voucher,70.415363,0.0,34102.295448,Trades
Net obligation for Equity F&O,2023-06-02,NSE-F&O - Z,Book Voucher,275.239192,0.0,3768.056256,Trades
Net obligation for Equity F&O,2023-06-06,NSE-F&O - Z,Book Voucher,0.0,11738.036629,90506.092885,Trades
Net obligation for Equity F&O,2023-06-08,NSE-F&O - Z,Book Voucher,0.0,19760.595582,235256.068467,Trades
Net obligation for Equity F&O,2023-06-09,NSE-F&O - Z,Book Voucher,0.0,17415.763495,252671.831962,Trades
Net obligation for Equity F&O,2023-06-12,NSE-F&O - Z,Book Voucher,0.0,16552.580128,234224.41209,Trades
Net obligation for Equity F&O,2023-06-13,NSE-F&O - Z,Book Voucher,0.0,20390.870089,254615.282179,Trades
Net obligation for Equity F&O,2023-06-14,NSE-F&O - Z,Book Voucher,43417.061918,0.0,157198.220261,Trades
Net obligation for Equity F&O,2023-06-15,NSE-F&O - Z,Book Voucher,24325.711486,0.0,132872.508775,Trades
Net obligation for Equity F&O,2023-06-16,NSE-F&O - Z,Book Voucher,30879.604131,0.0,101992.904644,Trades
Net obligation for Currency F&O,2023-06-19,NSE-CDS - Z,Book Voucher,10206.323309,0.0,91786.581335,Trades
Net obligation for Equity F&O,2023-06-19,NSE-F&O - Z,Book Voucher,0.0,57451.591601,149238.172936,Trades
Net obligation for Currency F&O,2023-06-20,NSE-CDS - Z,Book Voucher,0.0,12444.0444,161682.217336,Trades
Net obligation for Equity F&O,2023-06-20,NSE-F&O - Z,Book Voucher,0.0,2922.57442,164604.791756,Trades
Net obligation for Currency F&O,2023-06-21,NSE-CDS - Z,Book Voucher,0.0,4724.320545,169329.112301,Trades
Net obligation for Equity F&O,2023-06-21,NSE-F&O - Z,Book Voucher,0.0,30719.074663,200048.186964,Trades
Net obligation for Equity F&O,2023-06-22,NSE-F&O - Z,Book Voucher,17663.913482,0.0,182384.273482,Trades
Net obligation for Equity F&O,2023-06-23,NSE-F&O - Z,Book Voucher,8930.67342,0.0,173453.600062,Trades
Net obligation for Equity F&O,2023-06-26,NSE-F&O - Z,Book Voucher,9559.48627,0.0,163894.113792,Trades
Net obligation for Equity F&O,2023-06-28,NSE-F&O - Z,Book Voucher,0.0,35834.988438,199729.10223,Trades
Net obligation for Equity F&O,2023-06-30,NSE-F&O - Z,Book Voucher,0.0,14071.979937,209801.082767,Trades
Net obligation for Equity F&O,2023-07-03,NSE-F&O - Z,Book Voucher,0.0,655.887124,1960414.489891,Trades
Net settlement for Equity with settlement number: 2023124,2023-07-04,NSE-EQ - Z,Book Voucher,0.0,1303.449762,2501671.329653,Trades
Net obligation for Equity F&O,2023-07-04,NSE-F&O - Z,Book Voucher,0.0,26016.410962,2527687.740615,Trades
Net obligation for Equity F&O,2023-07-05,NSE-F&O - Z,Book Voucher,22332.518459,0.0,1605575.222156,Trades
Net obligation for Equity F&O,2023-07-06,NSE-F&O - Z,Book Voucher,33136.599115,0.0,2472218.623041,Trades
Net obligation for Equity F&O,2023-07-07,NSE-F&O - Z,Book Voucher,0.0,20740.150743,2492958.773784,Trades
Net obligation for Equity F&O,2023-07-10,NSE-F&O - Z,Book Voucher,32330.202138,0.0,1962367.471646,Trades
Net obligation for Equity F&O,2023-07-11,NSE-F&O - Z,Book Voucher,40.660371,0.0,2460534.191275,Trades
Net obligation for Equity F&O,2023-07-12,NSE-F&O - Z,Book Voucher,0.0,23012.078882,2483546.270157,Trades
Net obligation for Equity F&O,2023-07-13,NSE-F&O - Z,Book Voucher,68195.640717,0.0,2415350.62944,Trades
Net obligation for Equity F&O,2023-07-14,NSE-F&O - Z,Book Voucher,29595.537958,0.0,2385755.091482,Trades
Net obligation for Equity F&O,2023-07-17,NSE-F&O - Z,Book Voucher,0.0,194413.734127,2580168.825609,Trades
Net obligation for Equity F&O,2023-07-18,NSE-F&O - Z,Book Voucher,16984.043503,0.0,2563184.782106,Trades
