particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
Span margin blocked for NSE F&O,2023-07-04,NSE-F&O - Z,Delivery Voucher,705890.0,0.0,1821797.740615,Other
Exposure margin blocked for NSE F&O,2023-07-04,NSE-F&O - Z,Delivery Voucher,193890.0,0.0,1627907.740615,Other
Span margin blocked for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,158303.0,0.0,1447272.222156,Other
Exposure margin blocked for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,194668.5,0.0,1252603.722156,Other
Span margin reversed for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,0.0,705890.0,1958493.722156,Other
Exposure margin reversed for NSE F&O,2023-07-05,NSE-F&O - Z,Delivery Voucher,0.0,193890.0,2152383.722156,Other
Span margin reversed for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,0.0,158303.0,2310686.722156,Other
Exposure margin reversed for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,0.0,194668.5,2505355.222156,Other
Span margin blocked for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,189857.0,0.0,2282361.623041,Other
Exposure margin blocked for NSE F&O,2023-07-06,NSE-F&O - Z,Delivery Voucher,195361.0,0.0,2087000.623041,Other
Span margin reversed for NSE F&O,2023-07-07,NSE-F&O - Z,Delivery Voucher,0.0,189857.0,2276857.623041,Other
Exposure margin reversed for NSE F&O,2023-07-07,NSE-F&O - Z,Delivery Voucher,0.0,195361.0,2472218.623041,Other
Span margin blocked for NSE F&O,2023-07-10,NSE-F&O - Z,Delivery Voucher,175236.0,0.0,1787131.471646,Other
Exposure margin blocked for NSE F&O,2023-07-10,NSE-F&O - Z,Delivery Voucher,194095.5,0.0,1593035.971646,Other
Span margin reversed for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,0.0,175236.0,2266479.351646,Other
Exposure margin reversed for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,0.0,194095.5,2460574.851646,Other
Span margin blocked for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,166426.0,0.0,2294108.191275,Other
Exposure margin blocked for NSE F&O,2023-07-11,NSE-F&O - Z,Delivery Voucher,195008.5,0.0,2099099.691275,Other
Span margin reversed for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,0.0,166426.0,2265525.691275,Other
Exposure margin reversed for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,0.0,195008.5,2460534.191275,Other
Span margin blocked for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,347129.0,0.0,2136417.270157,Other
Exposure margin blocked for NSE F&O,2023-07-12,NSE-F&O - Z,Delivery Voucher,194613.0,0.0,1941804.270157,Other
Span margin reversed for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,0.0,347129.0,2288933.270157,Other
Exposure margin reversed for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,0.0,194613.0,2483546.270157,Other
Span margin blocked for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,204877.0,0.0,2210473.62944,Other
Exposure margin blocked for NSE F&O,2023-07-13,NSE-F&O - Z,Delivery Voucher,194748.0,0.0,2015725.62944,Other
Span margin reversed for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,0.0,204877.0,2220602.62944,Other
Exposure margin reversed for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,0.0,194748.0,2415350.62944,Other
Span margin blocked for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,197526.0,0.0,2188229.091482,Other
Exposure margin blocked for NSE F&O,2023-07-14,NSE-F&O - Z,Delivery Voucher,195988.5,0.0,1992240.591482,Other
Span margin reversed for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,0.0,197526.0,2189766.591482,Other
Exposure margin reversed for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,0.0,195988.5,2385755.091482,Other
Span margin blocked for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,170719.0,0.0,2409449.825609,Other
Exposure margin blocked for NSE F&O,2023-07-17,NSE-F&O - Z,Delivery Voucher,197212.0,0.0,2212237.825609,Other
Span margin reversed for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,0.0,170719.0,2382956.825609,Other
Exposure margin reversed for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,0.0,197212.0,2580168.825609,Other
Span margin blocked for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,163748.0,0.0,2399436.782106,Other
Exposure margin blocked for NSE F&O,2023-07-18,NSE-F&O - Z,Delivery Voucher,197705.5,0.0,2201731.282106,Other
Span margin reversed for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,0.0,163748.0,2365479.282106,Other
Exposure margin reversed for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,0.0,197705.5,2563184.782106,Other
Span margin blocked for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,151061.0,0.0,2410717.298701,Other
Exposure margin blocked for NSE F&O,2023-07-19,NSE-F&O - Z,Delivery Voucher,198471.0,0.0,2212246.298701,Other
Span margin reversed for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,0.0,151061.0,2363307.298701,Other
Exposure margin reversed for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,0.0,198471.0,2561778.298701,Other
Span margin blocked for NSE F&O,2023-07-20,NSE-F&O - Z,Delivery Voucher,126240.0,0.0,2485496.536741,Other
