Sl No,Date,Day,NetPnL,NetPnL_broker,DifferencePnL,DiffPercent
0.0,2023-07-03,Monday,489.55,655.887124,166.33712399999996,33.97755571443161
1.0,2023-07-04,Tuesday,20069.63,27319.860724000002,7250.230724000001,36.12538309874173
2.0,2023-07-05,Wednesday,-18120.69,-22332.518459,-4211.828459,23.24320132952995
3.0,2023-07-06,Thursday,16481.489999999998,-33136.599115,-49618.089114999995,-301.0534188049745
4.0,2023-07-07,Friday,138.57000000000153,20740.150743,20601.580743,14867.273394674006
5.0,2023-07-10,Monday,-16765.059999999998,-32330.202138,-15565.142138000003,92.8427463904096
6.0,2023-07-11,Tuesday,-23509.92,-40.660371,23469.259628999996,-99.82705015159557
7.0,2023-07-12,Wednesday,11614.52,23012.078882,11397.558882000001,98.13198377548105
8.0,2023-07-13,Thursday,-12890.77,-68195.640717,-55304.870717,429.0268984474938
9.0,2023-07-14,Friday,-51890.57000000001,-29595.537958,22295.032042000006,-42.965479165096866
10.0,2023-07-17,Monday,217269.40000000002,194413.734127,-22855.66587300002,-10.519505219326799
11.0,2023-07-18,Tuesday,-37896.2,-16984.043503,20912.156496999996,-55.18272675624468
12.0,2023-07-19,Wednesday,-17961.96,-1406.483405,16555.476595,-92.16965517682925
13.0,2023-07-20,Thursday,50163.45,49958.23804,-205.21196000000054,-0.4090866158527784
14.0,2023-07-21,Friday,-16196.990000000002,-32666.254399,-16469.264399,101.68101850405537
15.0,2023-07-24,Monday,-23127.11,-17629.052254,5498.057746000002,-23.77321570226458
16.0,2023-07-25,Tuesday,-17412.88,-20858.625422,-3445.745422,19.78848658004879
17.0,2023-07-26,Wednesday,2351.8300000000017,-72329.624324,-74681.454324,-3175.461420425794
18.0,2023-07-27,Thursday,-35291.4,-32035.918578,3255.4814220000007,-9.224574321222736
19.0,2023-07-28,Friday,-27483.97,-1001.300049,26482.669951,-96.3567852497292
20.0,2023-07-31,Monday,-15256.26,-21583.885398,-6327.625397999998,41.47560016675121
21.0,2023-08-01,Tuesday,-50142.41,-29443.670343,20698.739657000002,-41.27990588605534
22.0,2023-08-02,Wednesday,309.56000000000495,-99462.95916,-99772.51916,-32230.43001679752
23.0,2023-08-03,Thursday,22754.979999999996,4041.333128,-18713.646871999998,-82.2397860688078
24.0,2023-08-04,Friday,-50492.76,-61368.275799,-10875.515799,21.538762783020772
25.0,2023-08-07,Monday,-24888.370000000003,-24741.865975999997,146.5040240000053,-0.5886445114726488
26.0,2023-08-08,Tuesday,70469.8,-448901.75457499997,-519371.55457499996,-737.0129538823722
27.0,2023-08-09,Wednesday,39531.71,283581.016931,244049.306931,617.3507468586611
28.0,2023-08-10,Thursday,181980.53,-121749.771283,-303730.301283,-166.90263583857018
29.0,2023-08-11,Friday,51312.43,51451.902618,139.47261799999978,0.271810588584481
30.0,2023-08-14,Monday,127042.57,83424.593522,-43617.97647800001,-34.33335493606592
31.0,2023-08-15,Tuesday,18567.99,0.0,-18567.99,-100.0
32.0,2023-08-16,Wednesday,-55941.28,-146979.03515100002,-91037.75515100002,162.7380623950686
33.0,2023-08-17,Thursday,42810.87999999999,-141076.632447,-183887.51244700002,-429.5345305842815
34.0,2023-08-18,Friday,105989.63,70957.084862,-35032.545138,-33.05280444700109
35.0,2023-08-21,Monday,-6219.300000000003,48074.893613,54294.193613,-872.9952504783492
36.0,2023-08-22,Tuesday,123388.93000000001,-22137.388153,-145526.318153,-117.94114605986128
37.0,2023-08-23,Wednesday,-72408.7,150577.65249,222986.35249000002,-307.95519390625714
38.0,2023-08-24,Thursday,-61620.770000000004,-126915.581213,-65294.81121299999,105.96234226381785
39.0,2023-08-25,Friday,21699.98,-16898.881129,-38598.861129,-177.87510001852536
40.0,2023-08-28,Monday,-7614.7699999999995,13176.131173,20790.901173,-273.03386934864744
41.0,2023-08-29,Tuesday,55282.28,-29845.665163,-85127.945163,-153.98776092990377
42.0,2023-08-30,Wednesday,-28900.58,65747.60393,94648.18393,-327.4957939598444
43.0,2023-08-31,Thursday,-55310.10999999999,-90058.417386,-34748.30738600001,62.82451325083246
44.0,2023-09-01,Friday,22244.79,-18635.936377,-40880.726377,-183.77663433550057
45.0,2023-09-04,Monday,3356.77,28768.247041,25411.477041,757.021691715548
46.0,2023-09-05,Tuesday,9978.86,6402.519059,-3576.3409410000004,-35.83917342261541
47.0,2023-09-06,Wednesday,20074.449999999997,-4693.733384,-24768.183383999996,-123.38162880676681
48.0,2023-09-07,Thursday,95352.09,15196.548479,-80155.54152099999,-84.06270016839693
49.0,2023-09-08,Friday,-36653.36,115919.186069,152572.546069,-416.25800763968164
50.0,2023-09-11,Monday,82892.93,-50600.273883,-133493.203883,-161.04293078191353
51.0,2023-09-12,Tuesday,201836.45,183749.462957,-18086.987043,-8.961209455972893
52.0,2023-09-13,Wednesday,297841.7,470040.757279,172199.057279,57.81563067864573
53.0,2023-09-14,Thursday,90388.82,1437.532555,-88951.28744500001,-98.40961243326332
54.0,2023-09-15,Friday,-29162.33,85997.378544,115159.70854400001,-394.8920012358409
55.0,2023-09-18,Monday,-2134.3500000000004,-55621.88619,-53487.53619,2506.0339770890428
56.0,2023-09-19,Tuesday,30367.859999999997,0.0,-30367.859999999997,-100.0
57.0,2023-09-20,Wednesday,49821.04,35597.92155,-14223.118450000002,-28.548417395542124
58.0,2023-09-21,Thursday,39591.44,72924.339208,33332.899208,84.19218701820394
59.0,2023-09-22,Friday,-54482.06,45379.875026,99861.93502599999,-183.29324373197343
60.0,2023-09-25,Monday,78343.56,-27366.532745,-105710.092745,-134.93143883811254
61.0,2023-09-26,Tuesday,38711.68,-32326.484103,-71038.164103,-183.50576390123086
62.0,2023-09-27,Wednesday,-57785.88,9597.91507,67383.79507,-116.60944692717321
63.0,2023-09-28,Thursday,-69821.54,-21298.879934,48522.660066,-69.49525900746389
64.0,2023-09-29,Friday,-20739.13,27652.649372,48391.779372000005,-233.3356286980216
65.0,2023-10-03,Tuesday,10320.05,-2852.255955,-13172.305955,-127.63800519377328
66.0,2023-10-04,Wednesday,57581.42999999999,41382.709314,-16198.720685999993,-28.131848559509542
67.0,2023-10-05,Thursday,-22419.16,-96036.206325,-73617.046325,328.3666574706635
