symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,false,25.000000,238.350000,603536715,1700000028269394,2023-04-03T10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,false,25.000000,238.350000,603536716,1700000028269394,2023-04-03T10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,false,25.000000,238.400000,603536717,1700000028269394,2023-04-03T10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,false,25.000000,238.400000,603536718,1700000028269394,2023-04-03T10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,false,25.000000,181.700000,605479147,1700000074620136,2023-04-03T13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,false,25.000000,181.700000,605479148,1700000074620136,2023-04-03T13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,false,25.000000,181.750000,605479146,1700000074620136,2023-04-03T13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,false,25.000000,181.750000,605479145,1700000074620136,2023-04-03T13:43:16,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,buy,false,100.000000,242.550000,430791013,1500000007932416,2023-04-05T09:29:28,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,buy,false,25.000000,242.500000,430791012,1500000007932416,2023-04-05T09:29:28,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,sell,false,125.000000,235.000000,433846424,1500000009720806,2023-04-05T12:36:32,2023-04-06
NIFTY2351118300PE,,2023-05-11,NSE,FO,,buy,false,50.000000,34.000000,88837374,1100000019712267,2023-05-11T09:43:52,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,sell,false,50.000000,37.500000,89280882,1100000023843376,2023-05-11T09:50:08,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,buy,false,250.000000,27.150000,94304002,1100000072386229,2023-05-11T12:14:24,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,sell,false,250.000000,20.100000,94612917,1100000075019036,2023-05-11T12:22:40,2023-05-11
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,25.000000,86.200000,607836472,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,150.000000,86.200000,607836471,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,125.000000,86.150000,607836470,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,50.000000,86.100000,607836469,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,25.000000,86.100000,607836468,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,125.000000,86.100000,607836467,1700000066141335,2023-05-18T11:06:10,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,25.000000,59.600000,609702132,1700000086676985,2023-05-18T11:54:50,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,25.000000,59.650000,609702133,1700000086676985,2023-05-18T11:54:50,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,false,25.000000,59.600000,609702131,1700000086676985,2023-05-18T11:54:50,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,50.000000,117.150000,611093670,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,25.000000,117.200000,611093669,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,25.000000,117.200000,611093668,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,100.000000,117.200000,611093667,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,275.000000,117.200000,611093666,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,25.000000,117.300000,611093665,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,25.000000,117.350000,611093664,1700000101509977,2023-05-18T12:25:24,2023-05-18
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,sell,false,50.000000,117.150000,611093671,1700000101509977,2023-05-18T12:25:24,2023-05-18
NIFTY2351818150CE,,2023-05-18,NSE,FO,,buy,false,100.000000,52.100000,11870852,1000000097000223,2023-05-18T13:01:13,2023-05-18
NIFTY2351818150CE,,2023-05-18,NSE,FO,,buy,false,250.000000,52.100000,11870850,1000000097000223,2023-05-18T13:01:13,2023-05-18
NIFTY2351818150CE,,2023-05-18,NSE,FO,,buy,false,50.000000,52.100000,11870849,1000000097000223,2023-05-18T13:01:13,2023-05-18
NIFTY2351818150CE,,2023-05-18,NSE,FO,,buy,false,100.000000,52.100000,11870851,1000000097000223,2023-05-18T13:01:13,2023-05-18
NIFTY2351818150CE,,2023-05-18,NSE,FO,,sell,false,500.000000,61.650000,12637436,1000000104064338,2023-05-18T13:22:50,2023-05-18
NIFTY2351818300CE,,2023-05-18,NSE,FO,,buy,false,50.000000,0.600000,17818039,1000000142109993,2023-05-18T14:40:27,2023-05-18
NIFTY2351818300PE,,2023-05-18,NSE,FO,,buy,false,50.000000,147.150000,103270354,1100000143065026,2023-05-18T14:40:27,2023-05-18
NIFTY2351818300CE,,2023-05-18,NSE,FO,,buy,false,50.000000,0.600000,17821792,1000000142135900,2023-05-18T14:40:31,2023-05-18
NIFTY2351818300PE,,2023-05-18,NSE,FO,,buy,false,50.000000,149.150000,103275523,1100000143099549,2023-05-18T14:40:31,2023-05-18
NIFTY2351818300CE,,2023-05-18,NSE,FO,,buy,false,50.000000,0.600000,17823518,1000000142145832,2023-05-18T14:40:32,2023-05-18
NIFTY2351818300PE,,2023-05-18,NSE,FO,,buy,false,50.000000,150.400000,103278099,1100000143113701,2023-05-18T14:40:32,2023-05-18
NIFTY2351818300CE,,2023-05-18,NSE,FO,,buy,false,50.000000,0.600000,17831593,1000000142193775,2023-05-18T14:40:36,2023-05-18
NIFTY2351818300CE,,2023-05-18,NSE,FO,,buy,false,50.000000,0.600000,17832031,1000000142197835,2023-05-18T14:40:36,2023-05-18
NIFTY2351818300PE,,2023-05-18,NSE,FO,,buy,false,50.000000,153.900000,103289513,1100000143180207,2023-05-18T14:40:36,2023-05-18
