trade_id,trading_symbol,signal,entry_time,exit_time,entry_price,exit_price,hedge_entry_price,hedge_exit_price,trade_points,qty,pnl,tax,net_pnl
AP40,Nifty 19500,Short,2023-09-05 09:21:00,2023-09-05 14:09:00,126.95,122.65,4.75,3.55,3.1,400,1240.0,251.77,988.23
AP49,Nifty 20100,Short,2023-09-18 09:36:00,2023-09-18 14:56:00,171.29,150.3,7.8,5.1,18.3,500,9147.5,285.99,8861.51
AP76,NIFTY23N0219200CE,Short,2023-10-31 09:27:00,2023-10-31 14:56:00,172.45,150.35,9.05,6.1,19.15,500,9575.0,286.66,9288.34
AP86,NIFTY23N1619600CE,Short,2023-11-15 10:12:00,2023-11-15 13:17:00,104.3,113.25,2.55,2.8,-8.7,550,-4785.0,274.51,-5059.51
AP87,NIFTY23N1619600CE,Long,2023-11-16 10:11:00,2023-11-16 12:46:00,219.38,134.56,0.0,0.0,-84.82,550,-46651.0,301.68,-46952.68
AP100,NIFTY23D0720900CE,Short,2023-12-06 09:21:00,2023-12-06 14:56:00,155.06,127.64,9.05,3.45,21.82,600,13090.0,287.41,12802.59
AP102,NIFTY23D1420900CE,Short,2023-12-08 09:21:00,2023-12-08 14:57:00,243.08,214.88,20.85,15.55,22.91,600,13745.0,361.69,13383.31
AP104,NIFTY23D1421000CE,Short,2023-12-12 09:21:00,2023-12-12 14:57:00,174.22,173.54,7.4,7.45,0.73,600,440.0,324.18,115.82
AP113,NIFTY23DEC21500CE,Long,2023-12-27 12:05:00,2023-12-27 14:56:00,181.61,166.4,0.0,0.0,-15.21,550,-8365.5,301.68,-8667.18
AP118,NIFTY2410421600CE,Short,2024-01-03 09:21:00,2024-01-03 14:57:00,161.05,121.4,6.5,2.1,35.25,550,19390.0,274.17,19115.83
AP121,NIFTY2411121700CE,Short,2024-01-08 09:21:00,2024-01-08 14:57:00,203.1,240.38,10.75,15.5,-32.53,400,-13010.91,336.86,-13347.77
AP122,NIFTY2411121700CE,Short,2024-01-09 09:21:00,2024-01-09 14:30:00,173.1,206.55,6.7,10.45,-29.7,250,-7425.0,267.75,-7692.75
AP123,NIFTY2411121700CE,Short,2024-01-11 09:21:00,2024-01-11 14:12:00,78.35,73.65,1.05,0.6,4.25,550,2337.5,239.78,2097.72
AP124,NIFTY2411821700CE,Short,2024-01-12 09:21:00,2024-01-12 10:27:00,260.57,311.98,23.0,36.45,-37.96,600,-22777.5,496.81,-23274.31
AP125,NIFTY2411822000CE,Short,2024-01-15 09:21:00,2024-01-15 14:56:00,260.7,251.21,24.8,19.85,4.53,600,2720.0,391.74,2328.26
AP126,NIFTY2411822100CE,Short,2024-01-16 09:21:00,2024-01-16 14:57:00,208.45,183.13,18.0,12.45,19.77,550,10875.0,323.36,10551.64
AP127,NIFTY2411821800CE,Short,2024-01-17 09:21:00,2024-01-17 12:05:00,203.91,222.56,13.4,14.45,-17.6,550,-9680.0,364.47,-10044.47
AP128,NIFTY2411821500CE,Short,2024-01-18 09:21:00,2024-01-18 14:56:00,119.66,45.2,3.1,0.25,71.6,600,42962.5,224.18,42738.32
MP40,BANKNIFTY 45600,Long,2023-07-31 10:32:00,2023-08-01 13:30:00,72.74,62.0,0.0,0.0,-10.74,1100,-11814.0,100.12,-11914.12
MP49,BANKNIFTY 45000,Long,2023-08-07 10:21:00,2023-08-07 11:30:00,187.55,157.05,0.0,0.0,-30.5,330,-10065.0,85.95,-10150.95
MP76,NIFTY 19300,Long,2023-08-25 11:25:00,2023-08-25 14:24:00,89.8,81.0,0.0,0.0,-8.8,1000,-8800.0,183.66,-8983.66
MP86,NIFTY 19450,Long,2023-09-01 10:15:00,2023-09-01 13:58:00,75.4,102.1,0.0,0.0,26.7,1200,32040.0,85.26,31954.74
MP87,BANKNIFTY 44500,Long,2023-09-04 10:15:00,2023-09-04 14:21:00,122.8,121.25,0.0,0.0,-1.55,330,-511.5,120.3,-631.8
MP100,FINNIFTY 20300,Long,2023-09-11 10:55:00,2023-09-12 12:39:00,111.99,150.0,0.0,0.0,38.01,960,36489.6,139.06,36350.54
MP102,BANKNIFTY 45800,Long,2023-09-12 13:10:00,2023-09-13 14:05:00,356.88,314.0,0.0,0.0,-42.88,255,-10935.0,315.9,-11250.9
MP104,BANKNIFTY 46200,Long,2023-09-13 13:06:00,2023-09-14 12:15:00,244.73,265.0,0.0,0.0,20.27,630,12771.75,124.97,12646.78
MP113,NIFTY 19600,Long,2023-09-21 12:23:00,2023-09-21 11:00:00,109.04,110.0,0.0,0.0,0.96,1500,1437.5,145.03,1292.47
MP118,BANKNIFTY 44200,Long,2023-09-25 11:27:00,2023-09-25 11:07:00,193.22,113.95,0.0,0.0,-79.27,330,-26159.1,94.85,-26253.95
MP121,FINNIFTY 19800,Long,2023-09-27 11:23:00,2023-09-27 11:11:00,55.06,62.0,0.0,0.0,6.94,1760,12214.4,198.08,12016.32
MP122,BANKNIFTY 44600,Long,2023-09-27 11:24:00,2023-09-27 11:11:00,229.44,210.69,0.0,0.0,-18.75,660,-12375.0,220.86,-12595.86
MP123,BANKNIFTY 43900,Long,2023-09-28 10:21:00,2023-09-28 13:13:00,117.32,38.0,0.0,0.0,-79.32,330,-26175.6,63.61,-26239.21
MP124,NIFTY 19350,Long,2023-09-28 12:53:00,2023-09-28 14:41:00,47.8,25.03,0.0,0.0,-22.77,1100,-25047.0,82.26,-25129.26
MP125,FINNIFTY 19650,Long,2023-09-29 11:00:00,2023-09-29 10:50:00,73.57,61.74,0.0,0.0,-11.83,1080,-12776.8,130.67,-12907.47
MP126,NIFTY 19500,Long,2023-09-29 11:16:00,2023-09-29 13:44:00,18.6,2.0,0.0,0.0,-16.6,1050,-17430.0,50.33,-17480.33
MP127,FINNIFTY 19750,Long,2023-10-04 10:25:00,2023-10-04 10:44:00,64.05,50.0,0.0,0.0,-14.05,1760,-24736.0,157.61,-24893.61
MP128,NIFTY 19600,Long,2023-10-04 10:29:00,2023-10-04 11:20:00,110.39,110.1,0.0,0.0,-0.29,1750,-507.5,287.32,-794.82
MP129,NIFTY 19600,Long,2023-10-05 12:04:00,2023-10-05 13:07:00,92.47,121.15,0.0,0.0,28.68,550,15775.0,149.48,15625.52
MP130,FINNIFTY 19600,Long,2023-10-05 12:08:00,2023-10-05 15:05:00,48.6,45.7,0.0,0.0,-2.9,520,-1508.0,76.86,-1584.86
MP131,NIFTY 19600,Long,2023-10-06 10:59:00,2023-10-06 13:34:00,58.25,38.02,0.0,0.0,-20.23,950,-19218.5,92.79,-19311.29
MP132,BANKNIFTY 44100,Long,2023-10-06 12:17:00,2023-10-06 13:24:00,118.85,55.15,0.0,0.0,-63.7,300,-19110.0,68.39,-19178.39
MP133,NIFTY 19850,Long,2023-10-09 10:15:00,2023-10-07 13:09:00,65.5,67.0,0.0,0.0,1.5,750,1125.0,111.19,1013.81
MP134,BANKNIFTY 44500,Long,2023-10-09 10:15:00,2023-10-07 13:13:00,111.56,33.0,0.0,0.0,-78.56,225,-17675.25,56.98,-17732.23
MP135,FINNIFTY 19900,Long,2023-10-10 12:46:00,2023-10-08 14:33:00,89.18,65.0,0.0,0.0,-24.18,760,-18378.0,109.31,-18487.31
MP136,BANKNIFTY 44600,Long,2023-10-10 12:46:00,2023-10-08 15:05:00,257.96,237.11,0.0,0.0,-20.85,210,-4379.4,109.38,-4488.78
MP137,BANKNIFTY 44200,Long,2023-10-11 10:35:00,2023-10-09 11:24:00,221.44,182.0,0.0,0.0,-39.44,495,-19521.75,160.05,-19681.8
