,particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance,Category
4,Funds transferred back as part of quarterly settlement  with reference number eba52c833225ad8462a1bc,2023-04-06,NSE-EQ - Z,Bank Payments,31670.23,0.0,0.000269,Withdrawals
21,Payout of 70000.0/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-05-26 with reference number e40d43b8bd,2023-05-26,NSE-EQ - Z,Bank Payments,70000.0,0.0,38343.725499,Withdrawals
26,Payout of 30000.0/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-06-01 with reference number 09ea3f653a,2023-06-01,NSE-EQ - Z,Bank Payments,30000.0,0.0,4102.295448,Withdrawals
35,Payout of 35000.0/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-06-09 with reference number 49a300b67f,2023-06-09,NSE-EQ - Z,Bank Payments,35000.0,0.0,217671.831962,Withdrawals
38,Payout of 54000.0/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-06-13 with reference number 078cdb2bb4,2023-06-13,NSE-EQ - Z,Bank Payments,54000.0,0.0,200615.282179,Withdrawals
87,Funds transferred back as part of quarterly settlement with reference number 0c8efbd07d47360b5d1cd8,2023-07-07,NSE-EQ - Z,Bank Payments,2472218.62,0.0,20740.153784,Withdrawals
410,Funds transferred back as part of quarterly settlement  with reference number 6a32e8d69d09b12d6f1d9e,2023-10-06,NSE-EQ - Z,Bank Payments,2643148.575233,0.0,38574.862083,Withdrawals
479,Payout of 164372.0/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-10-29 with reference number 07519f5a53,2023-10-30,NSE-EQ - Z,Bank Payments,164372.0,0.0,1984636.21329,Withdrawals
528,Payout of 141221.78/- to STATE BANK OF INDIA 00000064047663479 A/C number as per withdrawal request made on 2023-11-11 with reference number a785df4085,2023-11-13,NSE-EQ - Z,Bank Payments,141221.78,0.0,2043743.639785,Withdrawals
697,Funds transferred back as part of quarterly settlement with reference number 8027af1d6147f79e412ee2,2024-01-05,NSE-EQ - Z,Bank Payments,2480537.2,0.0,111884.373428,Withdrawals
