symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,False,25.0,238.35,603536715,1700000028269394,2023-04-03 10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,False,25.0,238.35,603536716,1700000028269394,2023-04-03 10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,False,25.0,238.4,603536717,1700000028269394,2023-04-03 10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,buy,False,25.0,238.4,603536718,1700000028269394,2023-04-03 10:31:20,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,False,25.0,181.7,605479147,1700000074620136,2023-04-03 13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,False,25.0,181.7,605479148,1700000074620136,2023-04-03 13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,False,25.0,181.75,605479146,1700000074620136,2023-04-03 13:43:16,2023-04-06
BANKNIFTY2340640600PE,,2023-04-03,NSE,FO,,sell,False,25.0,181.75,605479145,1700000074620136,2023-04-03 13:43:16,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,buy,False,100.0,242.55,430791013,1500000007932416,2023-04-05 09:29:28,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,buy,False,25.0,242.5,430791012,1500000007932416,2023-04-05 09:29:28,2023-04-06
BANKNIFTY2340640800CE,,2023-04-05,NSE,FO,,sell,False,125.0,235.0,433846424,1500000009720806,2023-04-05 12:36:32,2023-04-06
NIFTY2351118300PE,,2023-05-11,NSE,FO,,buy,False,50.0,34.0,88837374,1100000019712267,2023-05-11 09:43:52,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,sell,False,50.0,37.5,89280882,1100000023843376,2023-05-11 09:50:08,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,buy,False,250.0,27.15,94304002,1100000072386229,2023-05-11 12:14:24,2023-05-11
NIFTY2351118300PE,,2023-05-11,NSE,FO,,sell,False,250.0,20.1,94612917,1100000075019036,2023-05-11 12:22:40,2023-05-11
BANKNIFTY2351844000PE,,2023-05-18,NSE,FO,,buy,False,25.0,86.2,607836472,1700000066141335,2023-05-18 11:06:10,2023-05-18
